car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,1,alfa-romeo giulia,gas,std,two,convertible,rwd,front,88.60,168.80,64.10,48.80,2548.00,dohc,four,130.00,mpfi,3.47,2.68,9.00,111.00,5000.00,21.00,27.00,13495.00
2,1,alfa-romeo stelvio,gas,std,two,convertible,rwd,front,88.60,168.80,64.10,48.80,2548.00,dohc,four,130.00,mpfi,3.47,2.68,9.00,111.00,5000.00,21.00,27.00,16500.00
3,1,alfa-romeo Quadrifoglio,gas,std,two,hatchback,rwd,front,94.50,171.20,65.50,52.40,2823.00,ohcv,six,152.00,mpfi,2.68,3.47,9.00,154.00,5000.00,19.00,26.00,16500.00
4,2,audi 100 ls,gas,std,four,sedan,fwd,front,99.80,176.60,66.20,54.30,2337.00,ohc,four,109.00,mpfi,3.19,3.40,10.00,102.00,5500.00,24.00,30.00,13950.00
5,2,audi 100ls,gas,std,four,sedan,4wd,front,99.40,176.60,66.40,54.30,2824.00,ohc,five,136.00,mpfi,3.19,3.40,8.00,115.00,5500.00,18.00,22.00,17450.00
6,2,audi fox,gas,std,two,sedan,fwd,front,99.80,177.30,66.30,53.10,2507.00,ohc,five,136.00,mpfi,3.19,3.40,8.50,110.00,5500.00,19.00,25.00,15250.00
7,2,audi 100ls,gas,std,four,sedan,fwd,front,105.80,192.70,71.40,55.70,2844.00,ohc,five,136.00,mpfi,3.19,3.40,8.50,110.00,5500.00,19.00,25.00,17710.00
8,2,audi 5000,gas,std,four,wagon,fwd,front,105.80,192.70,71.40,55.70,2954.00,ohc,five,136.00,mpfi,3.19,3.40,8.50,110.00,5500.00,19.00,25.00,18920.00
9,2,audi 4000,gas,turbo,four,sedan,fwd,front,105.80,192.70,71.40,55.90,3086.00,ohc,five,131.00,mpfi,3.13,3.40,8.30,140.00,5500.00,17.00,20.00,23875.00
10,2,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,99.50,178.20,67.90,52.00,3053.00,ohc,five,131.00,mpfi,3.13,3.40,7.00,160.00,5500.00,16.00,22.00,17859.17
11,3,bmw 320i,gas,std,two,sedan,rwd,front,101.20,176.80,64.80,54.30,2395.00,ohc,four,108.00,mpfi,3.50,2.80,8.80,101.00,5800.00,23.00,29.00,16430.00
12,3,bmw 320i,gas,std,four,sedan,rwd,front,101.20,176.80,64.80,54.30,2395.00,ohc,four,108.00,mpfi,3.50,2.80,8.80,101.00,5800.00,23.00,29.00,16925.00
13,3,bmw x1,gas,std,two,sedan,rwd,front,101.20,176.80,64.80,54.30,2710.00,ohc,six,164.00,mpfi,3.31,3.19,9.00,121.00,4250.00,21.00,28.00,20970.00
14,3,bmw x3,gas,std,four,sedan,rwd,front,101.20,176.80,64.80,54.30,2765.00,ohc,six,164.00,mpfi,3.31,3.19,9.00,121.00,4250.00,21.00,28.00,21105.00
15,3,bmw z4,gas,std,four,sedan,rwd,front,103.50,189.00,66.90,55.70,3055.00,ohc,six,164.00,mpfi,3.31,3.19,9.00,121.00,4250.00,20.00,25.00,24565.00
16,3,bmw x4,gas,std,four,sedan,rwd,front,103.50,189.00,66.90,55.70,3230.00,ohc,six,209.00,mpfi,3.62,3.39,8.00,182.00,5400.00,16.00,22.00,30760.00
17,3,bmw x5,gas,std,two,sedan,rwd,front,103.50,193.80,67.90,53.70,3380.00,ohc,six,209.00,mpfi,3.62,3.39,8.00,182.00,5400.00,16.00,22.00,41315.00
18,3,bmw x3,gas,std,four,sedan,rwd,front,110.00,197.00,70.90,56.30,3505.00,ohc,six,209.00,mpfi,3.62,3.39,8.00,182.00,5400.00,15.00,20.00,36880.00
19,4,chevrolet impala,gas,std,two,hatchback,fwd,front,88.40,141.10,60.30,53.20,1488.00,l,three,61.00,2bbl,2.91,3.03,9.50,48.00,5100.00,47.00,53.00,5151.00
20,4,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,94.50,155.90,63.60,52.00,1874.00,ohc,four,90.00,2bbl,3.03,3.11,9.60,70.00,5400.00,38.00,43.00,6295.00
21,4,chevrolet vega 2300,gas,std,four,sedan,fwd,front,94.50,158.80,63.60,52.00,1909.00,ohc,four,90.00,2bbl,3.03,3.11,9.60,70.00,5400.00,38.00,43.00,6575.00
22,5,dodge rampage,gas,std,two,hatchback,fwd,front,93.70,157.30,63.80,50.80,1876.00,ohc,four,90.00,2bbl,2.97,3.23,9.41,68.00,5500.00,37.00,41.00,5572.00
